Position,Country,Score,Classification,KPIs-PC,KPIs-R,KPIs-E,KPIs-ICT,KPIs-GH,Region,ShowLabel,Label
48,Türkiye,43.19,Periphery AI Nation,0,EA,122.80279,"$5,336,000,000.00",2544065,Europe & Eurasia,FALSE,
49,Egypt,42.58,Periphery AI Nation,0,EA,63.20353,"$2,061,400,000.00",1626418,Middle East & Central Asia,FALSE,
50,Greece,42.5,Periphery AI Nation,0,ED,30.44972,"$1,777,124,295.72",394067,Europe & Eurasia,FALSE,Greece
51,Ukraine,42.48,Periphery AI Nation,0,EA,24.36,"$6,610,000,000.00",1729006,Europe & Eurasia,FALSE,
52,Philippines,42.47,Periphery AI Nation,0,EA,31.8478,"$8,827,634,084.76",2815527,Indo-Pacific,FALSE,
53,Bulgaria,41.89,Periphery AI Nation,8.8,ED,16.64658,"$4,781,510,000.00",362099,Europe & Eurasia,FALSE,
54,Romania,41.86,Periphery AI Nation,0,ED,22.4936,"$13,020,041,811.32",795527,Europe & Eurasia,FALSE,
55,Cyprus,41.07,Periphery AI Nation,0,LD-,2.54137,"$10,030,920,648.08",96793,Europe & Eurasia,FALSE,
56,Colombia,40.09,Periphery AI Nation,0,ED,21.34532,"$2,309,838,336.22",1670892,Central & South America,FALSE,
57,Latvia,39.82,Periphery AI Nation,0,LD,3.82615,"$1,774,217,198.27",190889,Europe & Eurasia,FALSE,
58,Kazakhstan,39.58,Periphery AI Nation,10.3,EA,26.68369,"$1,355,233,820.00",463403,Middle East & Central Asia,FALSE,
59,Uruguay,39.48,Periphery AI Nation,0,LD-,5.27806,"$1,502,706,315.04",160501,Central & South America,TRUE,Uruguay
60,Oman,39.4,Periphery AI Nation,24,CA,12.58908,"$393,434,459.04",95170,Middle East & Central Asia,FALSE,
61,Uzbekistan,39.35,Periphery AI Nation,3.4,CA+,27.79717,"$921,500,245.55",395040,Middle East & Central Asia,FALSE,
62,Serbia,39.17,Periphery AI Nation,6.5,EA,8.57791,"$5,146,715,244.93",325368,Europe & Eurasia,FALSE,
63,Argentina,39.01,Periphery AI Nation,0,ED,44.44295,"$2,825,472,485.37",1599355,Central & South America,FALSE,Argentina
64,Slovakia,38.32,Periphery AI Nation,0,ED,7.471,"$2,379,368,027.09",212894,Europe & Eurasia,FALSE,
65,Jordan,38.08,Periphery AI Nation,0,CA,7.2925,"$48,169,014.08",242986,Middle East & Central Asia,FALSE,
66,Mauritius,37.97,Periphery AI Nation,24.4,ED+,0.95699,"$171,025,852.88",50296,Africa,FALSE,
67,Azerbaijan,37.95,Periphery AI Nation,0,EA,9.7287,"$130,308,000.00",195331,Europe & Eurasia,FALSE,
68,Mexico,37.67,Periphery AI Nation,0,EA+,122.80961,"$3,255,094,101.00",2865151,North America,TRUE,Mexico
69,Nigeria,37.5,Periphery AI Nation,5.6,ED-,14.53693,"$107,979,745.21",1794519,Africa,FALSE,
70,Andorra,36.92,Periphery AI Nation,6.9,,0.06235,"$132,308,029.79",7489,Europe & Eurasia,FALSE,
71,Monaco,36.77,Periphery AI Nation,0,,,,3256,Europe & Eurasia,FALSE,
72,Iran (Islamic Republic of),36.48,Periphery AI Nation,0,EA-,96.27069,,898557,Middle East & Central Asia,FALSE,
73,Croatia,36.24,Periphery AI Nation,0,ED,6.315,"$1,925,467,019.37",191502,Europe & Eurasia,FALSE,
74,Kenya,36.18,Periphery AI Nation,3.7,ED-,3.465,"$853,401,195.56",678197,Africa,FALSE,
75,Ghana,36.17,Periphery AI Nation,8.5,ED,5.87101,"$61,344,923.39",328387,Africa,FALSE,
76,Peru,36.05,Periphery AI Nation,0,ED,16.02342,"$174,917,518.64",907052,Central & South America,FALSE,
77,Pakistan,35.77,Periphery AI Nation,6.2,EA,50.26116,"$4,185,000,000.00",2497496,Middle East & Central Asia,FALSE,
78,Morocco,35.32,Periphery AI Nation,0,CA,11.40693,"$2,804,458,304.54",906406,Africa,TRUE,Morocco
79,Kuwait,34.65,Periphery AI Nation,34.8,CA,20.32686,"$6,252,957,273.99",112085,Middle East & Central Asia,FALSE,Kuwait
80,Ecuador,34.36,Periphery AI Nation,13,ED,8.13558,"$126,384,907.83",418829,Central & South America,FALSE,
81,Tunisia,34.19,Periphery AI Nation,0,EA,7.269,"$516,932,907.37",420582,Africa,FALSE,
82,Algeria,33.87,Periphery AI Nation,22.7,EA,27.98745,"$72,750,835.40",586990,Africa,FALSE,
83,Sri Lanka,33.23,Periphery AI Nation,30,ED,6.87387,"$971,460,298.34",541411,Indo-Pacific,FALSE,
84,Liechtenstein,33.17,Periphery AI Nation,24.4,,,,3056,Europe & Eurasia,FALSE,
85,Georgia,33.14,Periphery AI Nation,14.3,EA,5.03336,"$1,292,300,366.64",198539,Europe & Eurasia,FALSE,
86,Albania,32.3,Periphery AI Nation,4.7,EA+,3.59481,"$294,595,138.01",103489,Europe & Eurasia,FALSE,
87,Côte D'Ivoire,32.23,Periphery AI Nation,11.9,,,"$119,958,050.78",112935,Africa,FALSE,
88,Costa Rica,32.13,Periphery AI Nation,8.8,LD,3.72502,"$2,667,838,385.16",231325,Central & South America,FALSE,
89,Rwanda,31.35,Periphery AI Nation,0,EA,0.32214,"$34,451,932.61",87857,Africa,FALSE,
90,Republic of Moldova,31.21,Periphery AI Nation,0,ED-,,"$893,128,490.84",140751,Europe & Eurasia,FALSE,
91,Ethiopia,31.21,Periphery AI Nation,0,EA,10.15844,"$42,591,405.05",251351,Africa,FALSE,
92,Zambia,30.72,Periphery AI Nation,0,EA+,4.1451,"$25,034,545.85",64531,Africa,FALSE,
93,San Marino,30.71,Periphery AI Nation,8.5,,,,1381,Europe & Eurasia,FALSE,
94,State of Palestine,30.7,Periphery AI Nation,,,,,,,FALSE,
95,Brunei Darussalam,30.67,Periphery AI Nation,47.8,,1.04484,"$15,156,737.35",17551,Indo-Pacific,FALSE,
96,Senegal,30.58,Periphery AI Nation,3.7,ED,2.32648,"$128,356,504.13",91364,Africa,FALSE,
97,United Republic of Tanzania,30.45,Periphery AI Nation,,,,,,,FALSE,
98,Bangladesh,30.42,Periphery AI Nation,23.1,CA,26.49334,"$740,887,869.00",1882249,Indo-Pacific,FALSE,
99,Panama,30.4,Periphery AI Nation,0,ED,5.2878,"$501,332,378.97",96375,Central & South America,FALSE,
100,Botswana,30.09,Periphery AI Nation,5.3,ED,1.0585,"$35,334,750.96",30651,Africa,FALSE,
101,Montenegro,29.97,Periphery AI Nation,3.2,ED+,1.1477,"$193,625,414.82",29425,Europe & Eurasia,FALSE,
102,Lebanon,29.88,Periphery AI Nation,0,EA,3.50012,"$140,728,785.55",165282,Middle East & Central Asia,FALSE,
103,Iraq,29.42,Periphery AI Nation,8.6,EA,35.09858,"$92,400,000.00",454373,Middle East & Central Asia,FALSE,
104,Bhutan,29.25,Periphery AI Nation,0,ED-,3.51179,"$1,288,128.11",14370,Indo-Pacific,FALSE,
105,El Salvador,28.79,Periphery AI Nation,0,EA,3.10124,"$455,265,617.46",136169,Central & South America,FALSE,
106,Armenia,28.6,Periphery AI Nation,0,ED,4.2747,"$1,501,550,826.32",141176,Europe & Eurasia,FALSE,
107,Fiji,28.53,Periphery AI Nation,16.7,ED-,0.41659,"$10,051,626.57",10906,Indo-Pacific,FALSE,
108,Belarus,28.43,Periphery AI Nation,0,CA,13.4978,"$3,238,862,750.00",407977,Europe & Eurasia,FALSE,
109,Cameroon,28.42,Periphery AI Nation,0,EA,2.13572,"$189,161,798.41",139140,Africa,FALSE,
110,North Macedonia,28.41,Periphery AI Nation,3.1,ED-,3.22022,"$764,410,217.70",81773,Europe & Eurasia,FALSE,
111,Paraguay,28.33,Periphery AI Nation,0,ED,8.84727,"$519,331,142.83",93779,Central & South America,FALSE,
112,Nepal,28.16,Periphery AI Nation,26.5,ED,3.9874,,486967,Indo-Pacific,TRUE,Nepal
113,Mongolia,27.82,Periphery AI Nation,4.4,ED-,1.8725,"$61,798,307.84",89495,Indo-Pacific,FALSE,
114,Cambodia,27.51,Periphery AI Nation,0,EA,5.50678,"$253,436,975.80",235476,Indo-Pacific,FALSE,
115,Dominican Republic,27.28,Periphery AI Nation,0,ED,7.98916,"$75,300,000.00",217451,Central & South America,FALSE,
